date,"<$3,800","$3,800-$4,200","$4,200-$4,600","$4,600-$5,000","$5,000-$5,400","$5,400-$5,800","$5,800-$6,200",">$6,200",volume
2025-12-27,0.49,0.495,0.495,0.495,0.495,0.49,0.49,0.49,
2025-12-28,0.42,0.465,0.43,0.415,0.415,0.44,0.415,0.425,
2025-12-29,0.47,0.47,0.455,0.485,0.46,0.45,0.455,0.47,
2025-12-30,0.465,0.46,0.405,0.45,0.465,0.425,0.415,0.43,
2025-12-31,0.415,0.405,0.445,0.47,0.42,0.41,0.475,0.47,
2026-01-01,0.425,0.43,0.41,0.425,0.44,0.385,0.415,0.34,
2026-01-02,0.26,0.25,0.15,0.16,0.215,0.11,0.085,0.105,
2026-01-03,0.08,0.19,0.28,0.2,0.095,0.085,0.05,0.05,
2026-01-04,0.095,0.21,0.28,0.2,0.11,0.07,0.05,0.0335,
2026-01-05,0.095,0.195,0.265,0.205,0.175,0.08,0.05,0.035,
2026-01-06,0.115,0.165,0.25,0.24,0.14,0.065,0.05,0.035,
2026-01-07,0.105,0.17,0.28,0.215,0.135,0.09,0.05,0.0395,
2026-01-08,0.09,0.17,0.245,0.22,0.155,0.085,0.07,0.037,
2026-01-09,0.095,0.16,0.245,0.225,0.155,0.075,0.06,0.024,
2026-01-10,0.085,0.15,0.235,0.27,0.15,0.07,0.05,0.0395,
2026-01-11,0.085,0.15,0.235,0.275,0.155,0.06,0.0415,0.0405,
2026-01-12,0.085,0.145,0.24,0.28,0.145,0.065,0.0345,0.044,
2026-01-13,0.08,0.115,0.205,0.285,0.16,0.09,0.0305,0.0445,
2026-01-14,0.1,0.125,0.19,0.295,0.16,0.085,0.038,0.048,
2026-01-15,0.09,0.115,0.19,0.22,0.165,0.09,0.0685,0.109,
2026-01-16,0.11,0.105,0.195,0.23,0.195,0.085,0.0595,0.092,
2026-01-17,0.11,0.115,0.2,0.23,0.175,0.08,0.0575,0.0655,
2026-01-18,0.105,0.12,0.2,0.235,0.17,0.085,0.057,0.072,
2026-01-19,0.095,0.115,0.2,0.245,0.18,0.085,0.0595,0.0715,
2026-01-20,0.085,0.115,0.2,0.255,0.185,0.085,0.0595,0.074,
2026-01-21,0.075,0.11,0.195,0.26,0.18,0.09,0.0585,0.081,
2026-01-22,0.07,0.09,0.135,0.255,0.19,0.115,0.083,0.095,
2026-01-23,0.04,0.06,0.0785,0.255,0.225,0.15,0.0775,0.169,
2026-01-24,0.0185,0.035,0.119,0.255,0.205,0.135,0.0885,0.1685,
2026-01-25,0.022,0.042,0.1055,0.17,0.21,0.145,0.0865,0.1895,
2026-01-26,0.0235,0.0365,0.099,0.115,0.215,0.12,0.107,0.3115,
2026-01-27,0.057,0.075,0.118,0.135,0.17,0.145,0.1065,0.211,
2026-01-28,0.0665,0.0445,0.0945,0.125,0.165,0.145,0.105,0.2595,
2026-01-29,0.0395,0.0345,0.0365,0.065,0.085,0.16,0.122,0.4175,
2026-01-30,0.0445,0.052,0.064,0.12,0.115,0.095,0.0925,0.4055,
2026-01-31,0.136,0.086,0.088,0.1,0.112,0.1,0.1015,0.2325,
2026-02-01,0.1325,0.099,0.122,0.11,0.1175,0.1,0.1,0.144,
2026-02-02,0.1545,0.0845,0.1075,0.145,0.13,0.11,0.107,0.148,
2026-02-03,0.136,0.0905,0.1115,0.125,0.1365,0.115,0.085,0.2195,
2026-02-04,0.0955,0.0745,0.0945,0.135,0.161,0.13,0.1015,0.2445,
2026-02-05,0.092,0.0895,0.0965,0.13,0.1675,0.125,0.1065,0.2255,
2026-02-06,0.132,0.0915,0.0995,0.135,0.1655,0.12,0.096,0.2125,
2026-02-07,0.137,0.0875,0.101,0.12,0.161,0.13,0.099,0.1995,
2026-02-08,0.1535,0.0855,0.0995,0.115,0.1675,0.13,0.0955,0.1925,
2026-02-09,0.115,0.0865,0.099,0.115,0.174,0.135,0.1,0.1645,
2026-02-10,0.11,0.0795,0.098,0.12,0.173,0.12,0.106,0.1825,
2026-02-11,0.104,0.078,0.0985,0.12,,0.115,0.1075,0.1865,
2026-02-12,0.0655,0.07,0.1045,0.12,0.178,0.14,0.1105,0.2165,
2026-02-13,0.068,0.079,0.1065,0.145,0.1855,0.145,0.11,0.1865,
2026-02-14,0.063,0.0715,0.125,0.145,0.182,0.16,0.107,0.18,
2026-02-15,0.065,0.075,0.113,0.15,0.19,0.165,0.091,0.174,
2026-02-16,,0.0765,0.128,0.155,,0.165,0.099,,
2026-02-17,0.076,0.076,0.119,0.15,0.1965,0.165,0.0955,0.15,
2026-02-18,,0.0665,0.088,0.17,,0.145,0.0785,,
2026-02-19,,0.064,0.1115,0.16,,0.145,0.076,,
2026-02-20,0.0715,0.0645,0.1085,0.16,,0.15,0.075,0.132,
2026-02-21,0.05,0.0605,0.109,0.16,0.21,0.155,0.108,0.1395,
2026-02-22,0.05,0.059,0.094,0.16,0.212,0.165,0.1105,0.146,
2026-02-23,0.049,0.059,0.1075,0.155,0.2125,0.16,0.1115,0.1515,
2026-02-24,0.05,0.059,0.0975,0.17,0.1515,0.165,0.111,0.1665,
2026-02-25,0.041,0.0635,0.099,0.16,0.157,0.18,0.113,0.1605,
2026-02-26,0.035,0.0625,0.097,0.16,0.1935,0.18,0.112,0.1245,
2026-02-27,0.0335,0.0585,0.103,0.155,0.188,0.18,0.118,0.135,
2026-02-28,0.031,0.0565,0.102,0.16,0.1925,0.18,0.1225,0.158,
2026-03-01,,0.046,0.0965,,,0.16,0.129,,
2026-03-02,,0.0465,0.091,0.14,,0.175,0.1045,,
2026-03-03,0.0215,0.046,0.0855,0.135,,0.18,0.116,0.2675,
2026-03-04,0.0465,0.061,0.093,0.155,,0.18,0.116,0.1575,
2026-03-05,0.0455,0.062,0.0905,0.155,0.1695,0.175,0.1325,0.1765,
2026-03-06,0.0445,0.0585,0.093,0.155,0.1735,0.17,0.135,0.158,
